Datum,Original_Datum,Tagesmitteltemperatur_Jena,Positive_Elemente,Negative_Elemente
1824-12-13,13.12.1824,8.9,,
1824-12-14,14.12.1824,8.4,,
1824-12-15,15.12.1824,6.2,,
1824-12-16,16.12.1824,6.4,,
1824-12-17,17.12.1824,1.8,vortheile,
1824-12-18,18.12.1824,1.4,,
1824-12-19,19.12.1824,10.1,,
1824-12-20,20.12.1824,11.4,dankend,
1824-12-21,21.12.1824,5.1,heiterer,
1824-12-22,22.12.1824,9.8,,
1824-12-23,23.12.1824,4.0,,schrecklicher
1824-12-24,24.12.1824,1.1,,
1824-12-25,25.12.1824,4.9,,
1824-12-26,26.12.1824,6.5,,
1824-12-27,27.12.1824,5.0,dankelmann,
1824-12-28,28.12.1824,8.5,,
1824-12-29,29.12.1824,3.7,,
1824-12-30,30.12.1824,2.4,,
1824-12-31,31.12.1824,6.6,dankend,
